year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,19.7,77.2,30.1,317.0,317.0,8.9
2015,7,28,19.716666666666665,77.2,30.1,323.0,323.0,8.2
2015,7,28,19.733333333333334,77.1,30.1,315.0,315.0,7.7
2015,7,28,19.75,77.1,30.1,322.0,322.0,7.3
2015,7,28,19.766666666666666,77.1,30.1,324.0,324.0,8.4
2015,7,28,19.783333333333335,77.0,30.1,323.0,323.0,9.8
2015,7,28,19.8,76.9,30.1,318.0,318.0,9.3
2015,7,28,19.816666666666666,76.9,30.1,324.0,324.0,8.8
2015,7,28,19.833333333333332,76.9,30.1,319.0,319.0,10.1
2015,7,28,19.85,76.9,30.1,320.0,320.0,9.3
2015,7,28,19.866666666666667,76.8,30.1,321.0,321.0,9.6
2015,7,28,19.883333333333333,76.8,30.1,326.0,326.0,10.7
2015,7,28,19.9,76.8,30.1,323.0,323.0,8.8
2015,7,28,19.916666666666668,76.8,30.1,321.0,321.0,9.2
2015,7,28,19.933333333333334,76.7,30.1,320.0,320.0,8.4
2015,7,28,19.95,76.7,30.1,317.0,317.0,8.0
2015,7,28,19.966666666666665,76.7,30.1,316.0,316.0,7.5
2015,7,28,19.983333333333334,76.7,30.1,316.0,316.0,8.4
2015,7,28,20.0,76.7,30.1,325.0,325.0,8.9
2015,7,28,20.1,76.5,30.1,328.0,328.0,9.1
2015,7,28,20.116666666666667,76.3,30.1,315.0,315.0,8.8
2015,7,28,20.133333333333333,76.3,30.1,324.0,324.0,8.7
2015,7,28,20.15,76.3,30.1,322.0,322.0,7.3
2015,7,28,20.166666666666668,76.3,30.1,306.0,306.0,8.4
2015,7,28,20.183333333333334,76.2,30.1,325.0,325.0,8.1
2015,7,28,20.2,76.3,30.1,320.0,320.0,7.2
2015,7,28,20.216666666666665,76.2,30.1,322.0,322.0,7.1
2015,7,28,20.233333333333334,76.2,30.1,310.0,310.0,6.7
2015,7,28,20.25,76.2,30.1,314.0,314.0,6.7
2015,7,28,20.266666666666666,76.3,30.1,326.0,326.0,6.9
2015,7,28,20.283333333333335,76.2,30.1,324.0,324.0,5.8
2015,7,28,20.3,76.2,30.1,324.0,324.0,6.0
2015,7,28,20.316666666666666,76.1,30.1,312.0,312.0,5.5
2015,7,28,20.333333333333332,76.1,30.1,330.0,330.0,7.0
2015,7,28,20.35,76.1,30.1,328.0,328.0,7.8
2015,7,28,20.366666666666667,76.1,30.1,325.0,325.0,6.1
2015,7,28,20.383333333333333,76.0,30.1,330.0,330.0,6.3
2015,7,28,20.4,75.9,30.1,330.0,330.0,6.2
2015,7,28,20.416666666666668,75.8,30.1,326.0,326.0,5.4
2015,7,28,20.433333333333334,75.8,30.1,338.0,338.0,6.4
2015,7,28,20.45,75.7,30.1,337.0,337.0,6.0
2015,7,28,20.466666666666665,75.6,30.1,343.0,343.0,6.3
2015,7,28,20.483333333333334,75.6,30.1,334.0,334.0,4.8
2015,7,28,20.5,75.6,30.1,338.0,338.0,6.5
